name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
MINI,DOG,SHIH TZU,2,1,0,0,0
ZEUS,DOG,GERM SHEPHERD/SIBERIAN HUSKY,4,1,0,1,0
*ANNIE,DOG,SIBERIAN HUSKY/MIX,2,82,1,1,0
BOFO,DOG,GERM SHEPHERD/MIX,3,5,0,0,0
GINGER,CAT,DOMESTIC LH,2,21,1,1,0
GEORGE,CAT,DOMESTIC LH,2,40,1,1,0
RABBIT,CAT,DOMESTIC MH,2,4,0,0,0
HAZLE,DOG,SIBERIAN HUSKY,4,469,1,1,1
*KAREN,CAT,DOMESTIC SH,2,71,1,1,1
CAT STEVENS,DOG,POODLE MIN/MIX,3,0,0,0,0
*ZOE,CAT,DOMESTIC SH,1,48,1,1,1
*TURTLE,OTHER,ANGORA-ENGLISH/MIX,2,144,1,1,1
*FELINA,CAT,DOMESTIC SH,2,160,1,1,0
OSO,DOG,GERM SHEPHERD,4,0,1,0,0
DIESEL,DOG,ROTTWEILER,4,11,0,0,0
BRUNO,DOG,GREAT PYRENEES,5,3,0,0,0
PUGSLEY,DOG,PUG,2,2,0,1,0
SUNSHINE,DOG,PIT BULL/MIX,3,1,0,0,0
MITE,CAT,DOMESTIC MH,2,140,0,0,0
DUFF,DOG,BORDER COLLIE,3,140,0,0,0
HUNTER,DOG,PIT BULL,3,1,0,0,0
COY,DOG,BORDER COLLIE,3,140,0,0,0
BOSCO,DOG,BORDER COLLIE,3,6,0,0,0
COOKIES,DOG,GERM SHEPHERD/MIX,4,3,0,1,0
FRIDO,DOG,SHIBA INU/BASENJI,3,3,0,0,0
ZANDER,DOG,BORDER COLLIE,3,140,0,0,0
MIA,DOG,PIT BULL/MIX,3,47,0,1,1
MANEY,CAT,DOMESTIC SH,2,1,0,0,0
LILOU,DOG,BELG MALINOIS,1,28,1,1,1
PYSCHO,DOG,PIT BULL,3,4,0,0,0
MISSY,DOG,SHIH TZU/MIX,1,1,0,0,0
WEDO,DOG,CHIHUAHUA SH/MIX,2,1,0,0,0
*BRITTNEY,CAT,DOMESTIC MH,2,28,0,1,1
EVIE,DOG,YORKSHIRE TERR/MIX,1,4,0,0,0
KIP,DOG,BORDER COLLIE,3,140,0,0,0
JOSAPHINA,DOG,PARSON RUSS TER,2,9,1,1,0
GERDY LOU,DOG,AUST CATTLE DOG/LABRADOR RETR,1,76,1,1,1
*TAPATIO,DOG,POMERANIAN/MIX,2,43,1,0,0
CASPER,DOG,CHIHUAHUA SH,2,51,1,1,0
*MARTIN,DOG,CHIHUAHUA SH/MIX,2,76,1,1,1
CALI,CAT,DOMESTIC SH,2,42,1,1,1
RAIDER RAMDO,DOG,PIT BULL,3,8,1,0,0
PICKLES,CAT,DOMESTIC SH,2,43,1,1,1
RAIDER RAMDO,DOG,PIT BULL,3,10,1,0,0
*BUFFY,CAT,DOMESTIC SH,1,55,1,1,1
RAIDER RAMDO,DOG,PIT BULL,3,7,0,0,0
LUCY,DOG,CHIHUAHUA SH/MIX,1,41,1,0,0
